id,barcode,name,price,stock,description,purchasePrice,categoryId,wholesaPrice,howToSell,isActive,entry,output,imgUrl,stocktaking,minimumstock
705,7.50201E+12,"Tijera escolar 5\ KW""",16,5,"Tijera escolar 5\ KW""",9.52,5,16,Unidad,1,0,0,default.png,1,1
706,4.54647E+11,porta gafete yoyo  personajes,25,5,porta gafete yoyo  personajes,14,5,25,Unidad,1,0,0,default.png,1,1
707,7.50221E+12,porta gafete transparente vertical MAE GFT-10V,16,13,porta gafete transparente vertical MAE GFT-10V,9.22,5,16,Unidad,1,0,0,default.png,1,1
708,7.25226E+11,pulparindo mini,3,5,pulparindo mini,3,14,3,Unidad,1,0,0,default.png,1,1
709,7.50091E+12,cable datos  tipo C 1 hora,35,2,cable datos  tipo C 1 hora,14,9,19.6,Unidad,1,0,0,default.png,1,1
710,6.9729E+11,combo cargador iphone nebro VGB01L,50,0,combo cargador iphone nebro VGB01L,20,9,28,Unidad,1,0,0,default.png,1,1
711,6.98601E+12,Pistola de silicon A+ barra 7mm,85,3,Pistola de silicon A+ barra 7mm,48,5,85,Unidad,1,0,0,default.png,1,1
712,7.50131E+12,lapiz adhesivo top 36 grs,39,11,lapiz adhesivo top 36 grs,26.6,5,39,Unidad,1,0,0,default.png,1,1
713,6.9729E+12,combo cargador tipo C,65,0,combo cargador tipo C,28,9,39.2,Unidad,1,0,0,default.png,1,1
714,6.9729E+12,combo cargador tipo V8 nebro,65,0,combo cargador tipo V8 nebro,27,9,37.8,Unidad,1,0,0,default.png,1,1
715,6.9729E+12,COMBO CARGADOR IPHONE 20 W,85,0,COMBO CARGADOR IPHONE 20 W,42,9,58.8,Unidad,1,0,0,default.png,1,1
716,7.50511E+12,3,15,1,3,15,9,21,Unidad,1,0,0,default.png,1,1
717,7.5031E+12,combo cargador  turbo power V8 30 w,70,0,combo cargador  turbo power V8 30 w,28,9,39.2,Unidad,1,0,0,default.png,1,1
718,7.50231E+12,Juego de Geometria jumbo flexible PJG5,80,1,Juego de Geometria jumbo flexible PJG5,47.09,5,80,Unidad,1,0,0,default.png,1,1
719,7.50229E+12,Juego de geometria jumbo PJG2,50,2,Juego de geometria jumbo PJG2,31.06,5,50,Unidad,1,0,0,default.png,1,1
720,7.21672E+11,cinta masking tape tuk 18mm x 50 m,27,1,cinta masking tape tuk 18mm x 50 m,15.81,5,27,Unidad,1,0,0,default.png,1,1
721,7.21672E+11,cinta masking tape tuk 24mm x 50 m,36,1,cinta masking tape tuk 24mm x 50 m,21.12,5,36,Unidad,1,0,0,default.png,1,1
722,7.21672E+11,cinta masking tape tuk 36mm x 50 m,54,1,cinta masking tape tuk 36mm x 50 m,31.71,5,54,Unidad,1,0,0,default.png,1,1
723,7.50094E+12,bocina radio FM modelo RFR228,85,3,bocina radio FM modelo RFR228,34,9,85,Unidad,1,0,0,default.png,1,1
724,6.92778E+12,pistola de silicon,39,7,pistola de silicon,14,5,39,Unidad,1,0,0,default.png,1,1
725,6.97228E+12,porta gafete beknn,8,20,porta gafete beknn,2.5,5,8,Unidad,1,0,0,default.png,1,1
